,content,Content_ID,Embedding,Deviation,Norm_Dev
0,Young adult Indian man playing guitar and smiling.,0,[-0.005 -0.011  0.038 ... -0.023  0.008 -0.036],[ 0.005  0.001  0.032 ... -0.012  0.006 -0.012],[ 0.122  0.037  0.723 ... -0.257  0.15  -0.25 ]
1,Adult white woman rolling dough in the kitchen and smiling.,1,[-0.001 -0.027  0.003 ...  0.006  0.001 -0.022],[ 0.009 -0.014 -0.003 ...  0.017 -0.     0.002],[ 0.209 -0.306 -0.052 ...  0.377  0.008  0.057]
2,Person with glasses filling out the newspaper crossword puzzle.,2,[ 0.002  0.004  0.019 ... -0.002 -0.014 -0.03 ],[ 0.012  0.017  0.013 ...  0.009 -0.015 -0.006],[ 0.27   0.376  0.299 ...  0.214 -0.314 -0.127]
3,Senior hispanic man playing a game of cards in the park.,3,[-0.018  0.002  0.019 ... -0.012  0.002 -0.029],[-0.008  0.015  0.013 ... -0.001  0.001 -0.005],[-0.172  0.338  0.306 ... -0.013  0.029 -0.107]
4,Young adult asian woman reading a book outside and smiling.,4,[ 0.001 -0.008  0.015 ... -0.021 -0.002 -0.031],[ 0.011  0.004  0.009 ... -0.01  -0.003 -0.008],[ 0.244  0.107  0.201 ... -0.199 -0.059 -0.157]
5,Person coloring in a coloring book with crayons.,5,[-0.001 -0.008  0.009 ... -0.009  0.005 -0.018],[0.009 0.004 0.003 ... 0.002 0.004 0.006],[0.214 0.109 0.087 ... 0.06  0.093 0.147]
6,Senior white woman biking in the park and looking towards the sky.,6,[ 0.006 -0.03  -0.005 ... -0.003 -0.01  -0.038],[ 0.016 -0.017 -0.011 ...  0.008 -0.011 -0.015],[ 0.354 -0.37  -0.24  ...  0.199 -0.234 -0.309]
7,Person knitting at home next to a basket of yarn.,7,[-0.024 -0.011 -0.008 ... -0.015  0.019 -0.036],[-0.014  0.002 -0.014 ... -0.005  0.018 -0.013],[-0.293  0.05  -0.286 ... -0.087  0.408 -0.266]
8,Young adult African American man walking his dog in the park.,8,[ 0.003 -0.015  0.012 ... -0.015 -0.007 -0.014],[ 0.013 -0.003  0.006 ... -0.004 -0.008  0.009],[ 0.297 -0.054  0.151 ... -0.066 -0.161  0.217]
9,Person shuffling a deck of playing cards.,9,[-0.022 -0.001  0.005 ... -0.021  0.007 -0.046],[-0.012  0.011 -0.001 ... -0.01   0.005 -0.022],[-0.249  0.258 -0.005 ... -0.219  0.129 -0.48 ]
10,Young adult woman making heart hands outdoors at sunset.,10,[-0.026 -0.011  0.005 ... -0.013  0.017 -0.053],[-0.016  0.002 -0.001 ... -0.002  0.016 -0.03 ],[-0.336  0.048 -0.008 ... -0.038  0.365 -0.643]
11,Young adult asian woman in orange vest looking up at a dynamic sky.,11,[-0.004 -0.021  0.008 ... -0.01  -0.    -0.026],[ 0.006 -0.009  0.002 ...  0.001 -0.002 -0.002],[ 0.15  -0.181  0.047 ...  0.034 -0.022 -0.03 ]
12,Young adult hispanic man taking a deep breath outdoors.,12,[-0.012  0.005  0.021 ... -0.005 -0.001 -0.009],[-0.002  0.018  0.015 ...  0.006 -0.002  0.014],[-0.043  0.405  0.331 ...  0.134 -0.039  0.33 ]
13,Young adult asian woman meditating outdoors.,13,[-0.011 -0.003  0.016 ... -0.009  0.004 -0.033],[-0.001  0.009  0.01  ...  0.002  0.003 -0.009],[-0.014  0.221  0.228 ...  0.066  0.074 -0.194]
14,"Young adult African American woman listening to music, smiling, and fist pumping.",14,[-0.027 -0.02   0.004 ... -0.024  0.006 -0.011],[-0.017 -0.008 -0.002 ... -0.013  0.004  0.012],[-0.364 -0.154 -0.031 ... -0.285  0.108  0.285]
15,Woman dancing with her dog at home.,15,[-0.027 -0.01  -0.018 ... -0.021  0.006 -0.042],[-0.017  0.003 -0.024 ... -0.01   0.005 -0.018],[-0.368  0.076 -0.507 ... -0.206  0.115 -0.388]
16,Young adult white woman dancing and cleaning the house.,16,[-0.017 -0.018 -0.026 ... -0.014  0.002 -0.019],[-0.007 -0.005 -0.032 ... -0.003  0.001  0.005],[-0.137 -0.102 -0.702 ... -0.045  0.025  0.111]
17,Man holding wooden stick while drilling hole.,17,[-0.033 -0.01   0.002 ... -0.002  0.001  0.01 ],[-0.024  0.003 -0.004 ...  0.009  0.     0.034],[-0.506  0.072 -0.069 ...  0.211  0.013  0.751]
18,"A wooden desk with ink pens, books, and a notebook with handwriting practice.",18,[-0.007  0.007  0.009 ... -0.015  0.006 -0.031],[ 0.003  0.02   0.003 ... -0.004  0.005 -0.008],[ 0.081  0.452  0.07  ... -0.08   0.118 -0.157]
19,Person sketching flowers in a notepad.,19,[-0.02  -0.001  0.01  ... -0.006  0.004 -0.047],[-0.011  0.012  0.004 ...  0.005  0.003 -0.024],[-0.222  0.268  0.104 ...  0.121  0.071 -0.511]
20,Senior white man painting flowers on a canvas.,20,[-0.005 -0.028 -0.007 ... -0.013  0.007 -0.011],[ 0.005 -0.015 -0.013 ... -0.002  0.006  0.013],[ 0.115 -0.324 -0.265 ... -0.029  0.146  0.287]
21,Adult white man reading a book while sitting in the sea.,21,[ 0.012 -0.021  0.007 ... -0.023  0.007 -0.022],[ 0.022 -0.008  0.001 ... -0.012  0.005  0.001],[ 0.496 -0.168  0.044 ... -0.244  0.13   0.045]
22,Adult asian man focusing on something indoors.,22,[-0.014 -0.023  0.021 ... -0.02  -0.    -0.021],[-0.004 -0.01   0.015 ... -0.009 -0.001  0.002],[-0.079 -0.211  0.338 ... -0.181 -0.016  0.064]
23,Middle-aged white woman drinking water at the table and looking down at something.,23,[-0.015 -0.015  0.019 ... -0.011 -0.018 -0.001],[-0.005 -0.003  0.013 ... -0.    -0.019  0.023],[-0.092 -0.046  0.295 ...  0.011 -0.405  0.517]
24,Senior man planting seeds outside.,24,[ 0.011 -0.035 -0.016 ... -0.023 -0.004  0.004],[ 0.021 -0.023 -0.022 ... -0.013 -0.005  0.028],[ 0.465 -0.486 -0.464 ... -0.263 -0.109  0.63 ]
25,Woman placing a cutting board into the kitchen cupboard.,25,[-0.011 -0.022  0.001 ... -0.011  0.001 -0.028],[-0.001 -0.009 -0.005 ...  0.     0.    -0.004],[-0.01  -0.187 -0.093 ...  0.015  0.015 -0.078]
26,"Flatly with a notebook, coffee, glasses, and polaroids.",26,[-0.02   0.009  0.024 ...  0.01  -0.013 -0.057],[-0.01   0.021  0.018 ...  0.021 -0.014 -0.033],[-0.213  0.481  0.405 ...  0.48  -0.306 -0.718]
27,Young adult African American woman looking at the newspaper.,27,[-0.022 -0.005  0.012 ...  0.008 -0.    -0.018],[-0.012  0.007  0.006 ...  0.019 -0.002  0.006],[-0.262  0.177  0.142 ...  0.44  -0.022  0.14 ]
28,Young adult asian woman placing a blanket on the sofa.,28,[-0.002 -0.019  0.009 ...  0.005  0.007 -0.019],[ 0.008 -0.007  0.003 ...  0.015  0.006  0.004],[ 0.182 -0.14   0.075 ...  0.353  0.133  0.105]
29,Senior white man wearing a coat and holding a book while walking outdoors.,29,[ 0.008 -0.018  0.003 ... -0.034  0.005 -0.01 ],[ 0.018 -0.006 -0.003 ... -0.023  0.004  0.014],[ 0.413 -0.116 -0.053 ... -0.504  0.091  0.315]
30,Adult African American man reading a book to his baby.,30,[-0.003 -0.014 -0.005 ... -0.015 -0.005 -0.014],[ 0.007 -0.002 -0.011 ... -0.004 -0.006  0.01 ],[ 0.16  -0.03  -0.225 ... -0.069 -0.115  0.235]
31,Senior Italian woman raising her arms and celebrating outdoors.,31,[-0.01  -0.013  0.002 ... -0.008  0.001 -0.029],[-0.001 -0.    -0.004 ...  0.003 -0.    -0.005],[-0.001  0.007 -0.074 ...  0.069  0.009 -0.096]
32,Adult white woman sitting at a desk and painting.,32,[-0.013 -0.012 -0.01  ...  0.     0.004 -0.029],[-0.004  0.001 -0.016 ...  0.011  0.002 -0.006],[-0.066  0.031 -0.347 ...  0.26   0.066 -0.109]
33,Middle-aged African American woman picking apples in a garden.,33,[-0.007 -0.023  0.005 ... -0.005 -0.003  0.012],[ 0.003 -0.011 -0.001 ...  0.006 -0.004  0.036],[ 0.068 -0.225 -0.015 ...  0.154 -0.081  0.795]
